Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD_min dI_min dH_nT dX_nT dY_nT dZ_nT dF_nT
2024.0 M M18.0 68 -89   -13d 40m    84d 28m    5586.9   5428.8  -1319.5  57682.5  57952.4    28.4      -3.7         58.3     67.6     31.1    -42.2    -36.3
2024.0 M M22.0 49 -68   -16d 50m    70d 51m   17663.6  16906.6  -5115.4  50858.1  53838.2     9.1      -5.5         60.2     71.2     27.5    -89.6    -64.9
2024.0 M M160.0 48 -70   -15d 55m    70d 32m   17924.3  17236.6  -4917.3  50690.8  53766.6     7.9      -5.7         60.3     69.2     22.9    -96.6    -71.0
2024.0 M M18.0 64 -96    -1d  7m    82d 50m    7284.4   7283.0   -142.0  57899.0  58355.4     9.6      -4.2         63.8     64.2     19.1    -64.1    -55.7
2024.0 M M106.0 49 -125    15d 58m    69d 24m   18692.8  17971.0   5144.5  49740.8  53137.3    -6.0      -1.6        -12.7     -3.2    -34.9   -104.6   -102.3
2024.0 M M410.0 49 -99     4d 18m    73d 34m   15829.4  15784.8   1188.1  53679.8  55965.1    -3.6      -3.9         33.3     34.5    -13.9   -109.8    -95.9
2024.0 M M28.0 69 -105     7d 42m    84d 42m    5355.5   5307.2    717.0  57806.4  58054.0     3.8      -4.5         70.1     68.7     15.2    -60.5    -53.8
2024.0 M M29.0 49 -123    15d 41m    69d 49m   18446.6  17760.3   4984.5  50161.8  53446.1    -5.9      -1.8         -9.9     -0.9    -33.4   -105.9   -102.8
2024.0 M M495.0 49 -117    14d 14m    70d 59m   17688.3  17145.1   4350.1  51330.4  54292.6    -5.7      -2.2         -0.5      6.8    -28.7   -108.6   -102.9
2024.0 M M33.0 47 -65   -16d 51m    68d 41m   19107.0  18286.0  -5540.5  48944.3  52541.7     8.9      -5.8         58.9     70.7     30.2    -93.9    -66.0
2024.0 M M41.0 47 -66   -16d 41m    68d 54m   18975.1  18176.8  -5445.7  49178.4  52712.1     8.6      -5.8         59.2     70.3     28.5    -95.4    -67.7
2024.0 M M23.0 67 -115    16d 46m    82d 48m    7263.1   6954.6   2094.3  57534.4  57991.0    -8.9      -4.1         60.0     62.8     -0.7    -78.7    -70.6
2024.0 M M791.0 52 -111    12d 25m    74d 11m   15289.5  14931.6   3288.7  53975.2  56099.0    -5.3      -3.0         20.3     24.9    -18.4   -107.4    -97.8
2024.0 M M10.0 49 -121    15d 17m    70d 13m   18196.5  17552.3   4798.8  50569.9  53744.0    -5.9      -1.9         -6.9      1.5    -31.8   -107.0   -103.0
2024.0 M M27.0 70 -68   -31d  4m    83d  7m    6797.2   5822.2  -3507.6  56305.9  56714.7    36.8      -1.7         27.2     60.9     48.4    -10.7     -7.4
2024.0 M M811.0 50 -115    13d 46m    72d  5m   16903.1  16417.3   4023.2  52281.8  54946.3    -5.7      -2.5          6.4     12.9    -25.5   -109.0   -101.7
2024.0 M M371.0 64 -139    18d 20m    77d 35m   12145.6  11529.0   3820.7  55191.8  56512.4   -15.6      -2.6         22.8     39.0    -45.1    -92.2    -85.1
2024.0 M M807.0 61 -139    17d 58m    75d 29m   13977.9  13296.0   4312.5  54013.3  55792.6   -12.8      -2.2         12.3     27.7    -45.5    -96.9    -90.7
2024.0 M M701.0 49 -120    15d  4m    70d 24m   18064.3  17443.8   4694.1  50751.5  53870.5    -5.8      -2.0         -5.4      2.8    -31.1   -107.4   -103.0
2024.0 M M22.0 49 -57   -17d 47m    68d 30m   19065.7  18154.0  -5825.2  48382.3  52003.3    11.6      -5.1         55.1     72.0     44.2    -71.7    -46.5
2024.0 M M793.0 58 -130    18d 27m    74d 56m   14509.9  13764.1   4592.0  53914.8  55833.2    -9.1      -2.4         12.0     23.5    -32.5   -104.5    -97.8
2024.0 M M305.0 51 -100     5d  5m    74d 52m   14767.6  14709.4   1310.1  54621.1  56582.2    -3.2      -3.9         37.2     38.3    -10.5   -105.7    -92.4
2024.0 M M655.0 55 -120    16d 31m    74d 42m   14793.5  14183.4   4204.5  54094.4  56080.8    -6.6      -2.6         15.5     22.9    -22.7   -106.6    -98.7
2024.0 M M0.0 53 -113    13d 34m    74d 33m   14979.2  14560.9   3515.2  54209.1  56240.6    -5.5      -2.9         20.2     25.2    -18.5   -106.8    -97.6
2024.0 M M724.0 53 -113    13d 34m    74d 33m   14974.2  14556.2   3513.3  54189.4  56220.2    -5.5      -2.9         20.2     25.2    -18.5   -106.8    -97.6
2024.0 M M10.0 61 -94    -2d 15m    81d 18m    8820.2   8813.4   -345.8  57659.7  58330.5     7.2      -4.2         61.8     62.5     15.9    -71.0    -60.8
2024.0 M M581.0 49 -102     6d 33m    73d 18m   16039.5  15934.9   1828.2  53452.2  55806.9    -4.3      -3.6         27.5     29.6    -16.6   -110.1    -97.5
2024.0 M M927.0 53 -116    14d 48m    74d  2m   15373.2  14863.7   3925.1  53743.5  55899.1    -5.9      -2.7         15.1     21.2    -21.4   -107.4    -99.1
2024.0 M M79.0 79 -85   -38d 43m    87d  9m    2815.9   2197.3  -1761.0  56597.4  56667.4    90.1      -1.7         27.2     67.4     40.6     -6.8     -5.5
2024.0 M M69.0 68 -133    19d 45m    81d  0m    8969.7   8442.4   3030.2  56648.4  57354.2   -19.1      -3.3         42.9     57.3    -32.5    -83.5    -75.7
2024.0 M M34.0 63 -68   -24d 25m    79d 52m    9984.9   9091.4  -4128.7  55888.5  56773.4    22.8      -3.0         45.2     68.5     41.7    -31.2    -22.8
2024.0 M M21.0 45 -66   -16d  9m    67d 20m   19973.2  19185.0  -5555.5  47826.6  51829.7     7.6      -6.2         58.3     68.2     26.0   -103.8    -73.3
2024.0 M M9.0 48 -69   -16d 14m    70d 19m   18058.5  17338.2  -5049.5  50481.0  53613.8     8.2      -5.7         60.1     69.8     24.6    -95.4    -69.5
2024.0 M M304.0 54 -101     5d 55m    76d 47m   13105.3  13035.7   1349.5  55827.5  57345.1    -2.5      -3.9         43.4     44.2     -5.0    -99.1    -86.5
2024.0 M M161.0 61 -113    15d  7m    79d 44m   10308.3   9951.3   2689.5  56929.8  57855.6    -5.8      -3.6         45.3     48.3     -4.9    -93.3    -83.8
2024.0 M M170.0 61 -121    18d 13m    78d 30m   11423.9  10851.8   3569.9  56171.1  57321.0    -8.5      -3.2         34.7     41.8    -16.1    -99.4    -90.5
2024.0 M M93.0 44 -76   -12d 16m    68d 44m   19205.4  18766.7  -4081.5  49354.6  52959.7     3.1      -6.1         54.3     56.8      5.6   -118.5    -90.8
2024.0 M M195.0 53 -77   -14d 27m    75d 17m   14307.1  13854.5  -3570.2  54447.1  56295.4     8.7      -5.0         62.1     69.2     19.6    -82.8    -64.3
2024.0 M M33.0 48 -64   -17d 18m    69d 14m   18722.7  17876.1  -5566.3  49355.4  52787.2     9.7      -5.6         58.7     71.8     32.9    -88.0    -61.4
